0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/lib/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/lib/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/js/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_user/UserService.js HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_user/UserListController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_blog/BlogService.js HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/lib/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:04 +0530] "GET /collaborationFrontEnd/C_job/JobService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_event/EventService.js HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_Friend/FriendService.js HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:51:05 +0530] "GET /collaborationFrontEnd/C_forum/ForumService.js HTTP/1.1" 200 1539
